Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
1.0,South Carolina-2023,3.167,1.9181,1.7068,1.7266,2.5556,4.2181,2.3823,1.4586,1.5483
0.875,Louisiana State-2023,2.4337,1.9181,0.6207,1.7073,2.2091,3.661,2.3823,1.4586,1.5483
0.9375,Connecticut-2023,2.4271,0.8873,1.726,1.7169,1.7915,3.1771,1.7332,1.4586,1.3583
1.0,Stanford-2023,2.455,1.6274,1.5338,1.6977,1.6388,3.0222,1.9185,1.4586,1.8643
1.0,Indiana-2023,2.3637,1.9181,1.3896,1.6881,1.8855,3.661,1.9185,1.1518,1.3844
0.9375,Iowa-2023,2.2835,0.8873,1.6683,1.6785,1.5816,2.8256,1.9185,1.4586,1.3844
0.9375,Utah-2023,2.0998,1.9181,0.8706,1.6688,1.8393,2.8256,2.3823,1.4586,1.8643
0.875,Notre Dame-2023,2.0749,1.5401,1.1781,1.6592,1.6897,2.1828,2.3823,1.4586,1.6857
0.8125,Texas-2023,2.0841,0.755,1.4761,1.6304,1.1806,2.1372,1.6612,1.4586,1.6118
1.0,Virginia Tech-2023,2.1252,1.9181,1.1205,1.6496,1.8855,3.2433,2.0217,1.4586,1.6857
0.8125,Tennessee-2023,2.0196,0.1539,1.7164,1.5919,0.8752,1.1539,2.3823,1.4586,1.5483
0.9375,Maryland-2023,1.9912,1.2309,1.6972,1.6015,1.5504,2.7063,1.7332,1.2092,1.3844
0.875,Duke-2023,2.0084,1.5745,1.3511,1.64,1.5504,2.1567,2.3823,1.4586,1.6857
0.75,Iowa State-2023,1.9349,1.1621,1.678,1.6111,1.0476,1.9898,1.5709,1.4586,1.6118
0.875,Ohio State-2023,1.8476,1.9181,1.2935,1.5823,1.419,2.3031,1.8413,1.4586,1.3844
0.625,Florida State-2023,1.6908,1.3367,0.2939,1.5053,1.0949,1.3058,1.4973,1.4586,1.6857
0.75,Louisville-2023,1.7917,0.755,1.5434,1.5438,0.8752,1.5941,1.9766,1.4586,1.6857
0.625,NC State-2023,1.7862,1.5745,1.4953,1.5726,0.7126,1.6764,1.3006,1.0596,1.6857
0.8125,UCLA-2023,1.8161,1.6032,1.4569,1.5245,1.1806,2.1372,1.4551,1.4586,1.8643
0.8125,Villanova-2023,1.8547,1.2309,1.6107,1.6207,1.6388,1.7967,2.3823,1.4586,1.3583
0.6875,North Carolina-2023,1.7395,1.2309,1.1109,1.5341,0.7697,1.5475,1.7332,1.4586,1.6857
0.6875,Colorado-2023,1.8024,1.288,1.1397,1.5149,1.2149,2.1567,1.4551,1.4586,1.8643
0.6875,Michigan-2023,1.6892,1.5745,1.255,1.486,0.9323,1.6764,2.3823,1.1925,1.3844
0.625,Arizona-2023,1.674,1.5745,0.5726,1.4764,0.9972,1.4111,1.4551,1.4586,1.8643
0.5625,Mississippi-2023,1.7405,1.3367,0.736,1.4957,1.2149,1.7967,1.0841,1.4586,1.5483
0.6875,Creighton-2023,1.7248,0.9731,1.6299,1.563,1.1702,1.4883,1.6612,1.1262,1.3583
0.625,Baylor-2023,1.6471,0.9731,1.4088,1.4283,0.5448,1.363,0.435,1.4586,1.6118
0.375,Mississippi State-2023,1.5827,1.3367,0.1112,1.361,0.8243,0.3942,1.8413,1.2092,1.5483
0.4375,Georgia-2023,1.6136,1.108,0.5341,1.4187,0.7697,-0.0159,1.7923,1.1518,1.5483
0.5625,Southern California-2023,1.6202,1.5745,-0.2925,1.4379,0.8798,1.3058,1.3006,1.1737,1.8643
0.75,Oklahoma-2023,1.5202,1.5745,0.8513,1.3706,1.5504,1.9898,1.9766,1.4586,1.6118
0.75,Washington State-2023,1.5532,1.5745,1.0916,1.4476,0.9816,1.8228,1.3006,1.1518,1.8643
0.4375,Alabama-2023,1.5547,1.3367,1.428,1.4572,0.8243,0.85,1.3006,1.1737,1.5483
0.5625,Oklahoma State-2023,1.4451,1.288,0.5438,1.2936,0.7697,1.1539,1.2023,1.4586,1.6118
0.5,Miami (FL)-2023,1.4309,0.5437,1.1589,1.2551,0.5448,1.4111,0.7596,1.1737,1.6857
0.375,Illinois-2023,1.3868,1.5745,-1.2729,1.3417,1.0476,1.1539,-0.8631,1.2591,1.3844
0.5,South Dakota State-2023,1.4299,0.3429,1.6876,1.4091,1.7686,0.9152,1.5709,1.4586,-0.5305
0.375,Purdue-2023,1.3619,1.5401,0.9667,1.2648,0.6508,0.9869,1.0841,0.9267,1.3844
0.5,Marquette-2023,1.3954,1.0782,1.5049,1.3321,0.8798,0.9152,1.3006,1.4586,1.3583
0.5625,South Florida-2023,1.3878,0.9099,1.2166,1.3995,1.5816,1.711,2.3823,1.0596,0.7525
0.375,Middle Tennessee-2023,1.4274,1.0782,1.4377,1.4668,1.9063,2.8256,1.4551,1.1115,0.4756
0.3125,Florida Gulf Coast-2023,1.3467,1.288,1.2358,1.3898,2.1104,0.4855,2.3823,1.4586,-0.568
0.5,Gonzaga-2023,1.2883,1.288,1.5914,1.3129,1.9063,2.3478,1.7332,1.2687,0.1857
0.4375,Princeton-2023,1.2771,0.9731,1.4184,1.3514,1.6278,0.9152,2.0217,1.4586,0.2695
0.3125,Drake-2023,1.1472,0.5006,1.3992,1.2359,1.0476,-0.5174,1.4087,1.2092,0.0093
0.4375,West Virginia-2023,1.1061,1.2309,-1.4074,1.1589,0.6508,0.6399,1.7332,1.1518,1.6118
0.375,Nevada-Las Vegas-2023,1.1579,1.2309,0.1977,1.2455,2.2408,-0.5174,2.3823,1.299,-0.2614
0.375,St. John's (NY)-2023,1.1335,1.9181,0.7264,1.207,1.0476,0.9869,1.5709,1.2368,1.3583
