Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET_Rank,Record,Q1,Q2,Q34,SOS,NC_WP
1,Gonzaga,1.0,0.8462,0.7619,1.0,0.8966,0.6923,1.0,1.0,0.6606,0.6136
1,Arizona,0.917,0.9091,0.8768,0.9916,0.9118,0.6667,0.875,1.0,0.7726,0.6667
5,Houston,0.9744,0.8462,0.9496,0.9972,0.8529,0.4,1.0,1.0,0.7549,0.6613
1,Kansas,0.9318,0.8462,0.9888,0.9944,0.8235,0.7222,0.9,1.0,0.9861,0.8268
1,Baylor,0.9282,0.9231,0.6583,0.9888,0.8125,0.6154,0.875,0.9231,0.8645,0.8268
2,Kentucky,0.8806,0.8462,0.7367,0.9776,0.7879,0.4615,0.8333,1.0,0.8291,0.733
3,Tennessee,0.89,0.75,0.8936,0.9832,0.7879,0.4286,1.0,1.0,0.921,0.733
3,Texas Tech,0.8774,0.8462,0.493,0.9804,0.7353,0.3846,0.9,0.9286,0.8593,0.8268
2,Duke,0.8529,0.9091,0.8655,0.9748,0.8235,0.7692,0.5,1.0,0.7927,0.6667
2,Villanova,0.8712,0.7,0.9804,0.986,0.7879,0.6111,0.8333,1.0,0.9378,0.7652
4,UCLA,0.8497,0.8889,0.9776,0.972,0.7812,0.5,0.7778,0.9375,0.8454,0.6667
2,Auburn,0.8246,0.9231,0.8627,0.9664,0.8438,0.6,0.7143,1.0,0.8363,0.733
3,Purdue,0.8431,1.0,0.6331,0.9692,0.7941,0.5385,0.75,1.0,0.8392,0.777
5,Iowa,0.814,0.9091,0.507,0.9636,0.7429,0.4167,0.5714,1.0,0.7741,0.777
6,Louisiana State,0.7665,0.9231,0.6919,0.9468,0.6667,0.3333,0.625,0.9286,0.8425,0.733
6,Texas,0.7994,0.8462,0.4342,0.958,0.6562,0.3077,0.7143,0.9286,0.8698,0.8268
4,Illinois,0.7635,0.7,0.7899,0.9608,0.7097,0.5833,0.4286,0.9286,0.899,0.777
5,Connecticut,0.737,0.8182,0.6499,0.9524,0.7188,0.3846,0.7143,1.0,0.7745,0.7652
4,Arkansas,0.7324,0.8462,0.8431,0.944,0.7576,0.6364,0.5556,0.9412,0.8578,0.733
8,North Carolina,0.7214,0.7273,0.986,0.9552,0.7273,0.3846,0.8889,0.9412,0.8708,0.6667
5,Saint Mary's (CA),0.7029,0.7857,0.9664,0.9496,0.7812,0.3,0.8571,1.0,0.7602,0.6136
9,Memphis,0.6805,0.6,0.9132,0.916,0.6774,0.5,0.5556,0.8125,0.8214,0.6613
6,Alabama,0.6844,0.7692,1.0,0.9132,0.5938,0.4286,0.5556,0.8,1.0,0.733
11,Virginia Tech,0.7036,0.7273,0.6022,0.9412,0.6571,0.3333,0.625,0.875,0.7554,0.6667
11,Michigan,0.6743,0.6,0.9944,0.9272,0.5484,0.5,0.25,0.9,0.9727,0.777
7,Ohio State,0.686,0.7778,0.93,0.9384,0.6333,0.5455,0.4444,0.8333,0.8798,0.777
10,San Francisco,0.6613,0.8571,0.9328,0.93,0.7273,0.3636,0.6,0.9412,0.696,0.6136
9,TCU,0.6661,0.9167,0.395,0.9104,0.625,0.4167,0.4444,0.9231,0.9315,0.8268
10,Loyola (IL),0.6725,0.8,0.7507,0.9244,0.7812,0.2,0.8333,0.8571,0.5854,0.5192
7,Michigan State,0.6361,0.8182,0.944,0.8964,0.6471,0.375,0.6667,0.9286,0.922,0.777
8,San Diego State,0.6521,0.7273,0.8375,0.9188,0.7419,0.3333,0.75,1.0,0.7252,0.6694
3,Wisconsin,0.6489,0.9,0.8543,0.9328,0.7742,0.5455,0.8889,0.8462,0.8837,0.777
4,Providence,0.6411,0.9091,0.9356,0.9356,0.8333,0.5455,0.875,1.0,0.8162,0.7652
8,Seton Hall,0.6189,0.8889,0.6807,0.8683,0.6774,0.3636,0.6667,0.8571,0.853,0.7652
12,Indiana,0.6317,0.9,0.5546,0.8796,0.6061,0.3077,0.5,0.875,0.832,0.777
7,Southern California,0.6125,1.0,0.4146,0.8908,0.7879,0.375,0.8333,0.9,0.7367,0.6667
11,Iowa State,0.6256,1.0,0.4286,0.888,0.625,0.4375,0.6667,0.8462,0.8918,0.8268
8,Boise State,0.6086,0.6667,0.5574,0.9076,0.7941,0.4444,0.75,0.9412,0.6951,0.6694
11,Notre Dame,0.6109,0.6,0.8571,0.8824,0.6875,0.4,0.3333,0.9444,0.7808,0.6667
6,Colorado State,0.5974,1.0,0.5658,0.9048,0.8333,0.5556,0.8333,0.9333,0.6735,0.6694
9,Marquette,0.5835,0.7273,0.7955,0.8627,0.6129,0.3333,0.75,0.8462,0.8741,0.7652
9,Creighton,0.5725,0.7273,0.7087,0.8599,0.6667,0.5,0.5,0.8667,0.854,0.7652
10,Miami (FL),0.5769,0.7273,0.888,0.8711,0.697,0.6364,0.4444,0.8824,0.81,0.6667
12,UAB,0.5581,0.7273,0.5322,0.8655,0.7941,0.5,0.6667,0.8261,0.4385,0.5342
10,Davidson,0.5679,0.8182,0.4902,0.8739,0.8182,0.4,1.0,0.9524,0.5371,0.5976
7,Murray State,0.5487,0.7778,0.9636,0.9216,0.9375,0.75,0.8333,0.9524,0.2982,0.3495
12,Wyoming,0.5306,0.8333,0.577,0.8403,0.7576,0.2857,0.8,0.875,0.6175,0.6694
11,Rutgers,0.5043,0.6,0.1289,0.7787,0.5806,0.4545,0.6667,0.6,0.7712,0.777
13,Vermont,0.4911,0.6364,0.7423,0.8459,0.8485,0.3333,0.0,0.8966,0.1723,0.3814
12,New Mexico State,0.4456,0.8,0.8123,0.7843,0.8125,0.75,0.6,0.8182,0.5045,0.4651
12,Richmond,0.4559,0.6923,0.8347,0.7675,0.6571,0.4444,0.5455,0.8235,0.6596,0.5976
13,South Dakota State,0.4218,0.6364,0.8039,0.8151,0.8824,0.0,0.8,0.9231,0.2647,0.4021
13,Chattanooga,0.4369,0.7273,0.7871,0.8263,0.7941,0.4,0.8,0.8261,0.4002,0.5577
15,Saint Peter's,0.3211,0.1667,0.9972,0.7087,0.6333,0.4286,0.5,0.7273,0.4227,0.5155
14,Colgate,0.2511,0.25,0.2773,0.6555,0.6765,0.0,0.3333,0.7241,0.1403,0.3303
13,Akron,0.2525,0.625,0.4566,0.6499,0.7273,0.0,0.75,0.76,0.2571,0.4455
15,Delaware,0.2287,0.6667,0.6134,0.6275,0.6471,0.0,0.3333,0.8261,0.3581,0.4862
15,Cal State Fullerton,0.2132,0.4545,0.3445,0.5686,0.6774,0.0,0.4,0.7391,0.336,0.4264
14,Yale,0.215,0.3846,0.9216,0.5854,0.6333,0.0,1.0,0.7273,0.381,0.4157
15,Jacksonville State,0.2228,0.4545,0.5014,0.5882,0.6774,0.0,0.5,0.72,0.2638,0.3306
14,Montana State,0.2065,0.6667,0.5882,0.6443,0.7941,0.0,0.3333,0.8571,0.18,0.3563
14,Longwood,0.2161,0.4444,0.1625,0.6359,0.8125,0.0,0.5,0.84,0.1527,0.3
16,Georgia State,0.1876,0.375,0.3081,0.5602,0.6429,0.0,0.5,0.6364,0.381,0.4717
16,Wright State,0.1459,0.25,0.7255,0.4818,0.6176,0.0,0.0,0.6562,0.2006,0.266
16,Texas Southern,0.1068,0.2222,0.8263,0.4538,0.6,0.0,0.25,0.72,0.1465,0.1024
16,Norfolk State,0.0945,0.6,0.2185,0.5294,0.8,0.0,0.5,0.8333,0.0,0.2529
16,Bryant,0.0579,0.3,0.3165,0.4286,0.7097,0.0,0.0,0.7778,0.0905,0.2692
16,Texas A&M-Corpus Christi,0.0,0.6923,0.0028,0.3221,0.6765,0.0,0.0,0.6552,0.0096,0.2772
